# Source Provider: https://www.aquitemachadinhos.com.br
# License: Open Data Commons Open Database License (ODbL)
# Citation: Aqui Tem Achadinhos Public Open Data Engine (2026)
municipio,uf,slug,ddd,aeroporto_referencia,rodovias_acesso,distancia_capital,source_provider,canonical_url,atualizado_em
"Guaíra","SP","guaira","17","Acesso via Aeroporto de Barretos (BAT) ou Ribeirão Preto (RAO)","Rodovia Brigadeiro Faria Lima (SP-326) e SP-425","450 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-guaira","2026-08-12T21:43:00.827Z"
"Colômbia","SP","colombia","17","Acesso via Barretos (BAT - 35 min) ou Frutal/Uberaba (MG)","Rodovia Brigadeiro Faria Lima (SP-326) divisa com Minas Gerais","465 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-colombia","2026-08-12T21:43:00.827Z"
"Franca","SP","franca","16","Aeroporto Estadual de Franca (FRC) / Conexão Leite Lopes (RAO)","Rodovia Cândido Portinari (SP-334) e Rodovia Ronan Rocha (SP-345)","400 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-franca","2026-08-12T21:43:00.827Z"
"Sorocaba","SP","sorocaba","15","Aeroporto Estadual Bertram Luiz Leupolz (SOD)","Rodovia Castelo Branco (SP-280) e Rodovia Raposo Tavares (SP-270)","87 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-sorocaba","2026-08-12T21:43:00.827Z"
"Piracicaba","SP","piracicaba","19","Aeroporto Municipal Pedro Morganti (SDPW) / Viracopos (VCP - 50 min)","Rodovia Luiz de Queiroz (SP-304) e Rodovia do Açúcar (SP-075)","160 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-piracicaba","2026-08-12T21:43:00.827Z"
"Rio de Janeiro","RJ","rio-de-janeiro","21","Aeroporto Internacional Tom Jobim / Galeão (GIG) e Santos Dumont (SDU)","Rodovia Presidente Dutra (BR-116), Linha Vermelha e BR-101 (Rio-Santos)","Capital do Estado do RJ","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-rio-de-janeiro","2026-08-12T21:43:00.827Z"
"Armação dos Búzios","RJ","buzios","22","Aeroporto Umberto Modiano (BZC) / Conexão Aeroporto de Cabo Frio (CFB)","RJ-106 (Rodovia Amaral Peixoto) e RJ-102","170 km do Rio de Janeiro","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-buzios","2026-08-12T21:43:00.827Z"
"Paraty","RJ","paraty","24","Aeroporto Municipal de Paraty (JPY) / Acesso terrestre Rio-Santos","Rodovia Governador Mário Covas / Rio-Santos (BR-101)","250 km do Rio de Janeiro e 270 km de SP","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-paraty","2026-08-12T21:43:00.827Z"
"Belo Horizonte","MG","belo-horizonte","31","Aeroporto Internacional de Confins (CNF) e Aeroporto da Pampulha (PLU)","BR-040 (Rio-BH-Brasília) e BR-381 (Fernão Dias)","Capital do Estado de MG","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-belo-horizonte","2026-08-12T21:43:00.827Z"
"Ouro Preto","MG","ouro-preto","31","Acesso pelo Aeroporto Internacional de Confins (CNF - 2h)","Rodovia dos Inconfidentes (BR-356)","96 km de Belo Horizonte","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-ouro-preto","2026-08-12T21:43:00.827Z"
"Uberlândia","MG","uberlandia","34","Aeroporto de Uberlândia - Ten. Cel. Aviador César Bombonato (UDI)","BR-050 e BR-365","530 km de Belo Horizonte e 600 km de SP","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-uberlandia","2026-08-12T21:43:00.827Z"
"Juiz de Fora","MG","juiz-de-fora","32","Aeroporto Regional da Zona da Mata (IZA) e Francisco Álvares de Assis (JDF)","BR-040 e BR-267","260 km de Belo Horizonte e 180 km do RJ","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-juiz-de-fora","2026-08-12T21:43:00.827Z"
"Montes Claros","MG","montes-claros","38","Aeroporto de Montes Claros - Mário Ribeiro (MOC)","BR-135 e BR-365","420 km de Belo Horizonte","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-montes-claros","2026-08-12T21:43:00.827Z"
"Curitiba","PR","curitiba","41","Aeroporto Internacional Afonso Pena (CWB)","BR-277 (Litoral/Interior) e BR-116 (Régis Bittencourt)","Capital do Estado do PR","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-curitiba","2026-08-12T21:43:00.827Z"
"Londrina","PR","londrina","43","Aeroporto de Londrina - Gov. José Richa (LDB)","PR-445 e BR-369","380 km de Curitiba","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-londrina","2026-08-12T21:43:00.827Z"
"Maringá","PR","maringa","44","Aeroporto Regional de Maringá - Silvio Name Júnior (MGF)","PR-317 e BR-376 (Rodovia do Café)","420 km de Curitiba","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-maringa","2026-08-12T21:43:00.827Z"
"Foz do Iguaçu","PR","foz-do-iguacu","45","Aeroporto Internacional de Foz do Iguaçu (IGU)","BR-277 (Ligação com Curitiba e Porto de Paranaguá)","630 km de Curitiba","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-foz-do-iguacu","2026-08-12T21:43:00.827Z"
"Florianópolis","SC","florianopolis","48","Aeroporto Internacional Hercílio Luz (FLN)","BR-101 e SC-401 (Acesso Norte da Ilha)","Capital do Estado de SC","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-florianopolis","2026-08-12T21:43:00.827Z"
"Balneário Camboriú","SC","balneario-camboriu","47","Aeroporto Internacional de Navegantes (NVG - 30 min)","BR-101 Litoral Norte SC","80 km de Florianópolis","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-balneario-camboriu","2026-08-12T21:43:00.827Z"
"Blumenau","SC","blumenau","47","Aeroporto Internacional de Navegantes (NVG - 45 min)","BR-470 (Vale do Itajaí) e SC-108","140 km de Florianópolis","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-blumenau","2026-08-12T21:43:00.827Z"
"Joinville","SC","joinville","47","Aeroporto Lauro Carneiro de Loyola (JOI)","BR-101 e BR-280","180 km de Florianópolis","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-joinville","2026-08-12T21:43:00.827Z"
"Porto Alegre","RS","porto-alegre","51","Aeroporto Internacional Salgado Filho (POA)","BR-116, BR-290 (Freeway) e BR-386","Capital do Estado do RS","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-porto-alegre","2026-08-12T21:43:00.827Z"
"Caxias do Sul","RS","caxias-do-sul","54","Aeroporto Regional Hugo Cantergiani (CXJ)","BR-116 e RS-122 (Serra Gaúcha)","125 km de Porto Alegre","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-caxias-do-sul","2026-08-12T21:43:00.827Z"
"Salvador","BA","salvador","71","Aeroporto Internacional Dep. Luís Eduardo Magalhães (SSA)","BR-324 e BA-099 (Estrada do Coco / Linha Verde)","Capital do Estado da BA","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-salvador","2026-08-12T21:43:00.827Z"
"Porto de Galinhas","PE","porto","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-porto","2026-08-12T21:43:00.827Z"
"Recife","PE","recife","81","Aeroporto Internacional dos Guararapes / Gilberto Freyre (REC)","BR-101 e BR-232","Capital do Estado de PE","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-recife","2026-08-12T21:43:00.827Z"
"Caruaru","PE","caruaru","81","Aeroporto Oscar Laranjeira (CAU) / Conexão Guararapes REC","BR-232 (Duplicada) e BR-104","135 km de Recife","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-caruaru","2026-08-12T21:43:00.827Z"
"Fernando de Noronha","PE","noronha","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-noronha","2026-08-12T21:43:00.827Z"
"Fortaleza","CE","fortaleza","85","Aeroporto Internacional Pinto Martins (FOR)","BR-116 e CE-040 (Litoral Leste)","Capital do Estado do CE","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-fortaleza","2026-08-12T21:43:00.827Z"
"Jericoacoara","CE","jericoacoara","88","Aeroporto Regional Comandante Ariston Pessoa (JJD) em Cruz","CE-085 (Estruturante) e transfer 4x4","300 km de Fortaleza","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-jericoacoara","2026-08-12T21:43:00.827Z"
"Natal","RN","natal","84","Aeroporto Internacional Gov. Aluízio Alves (NAT) em São Gonçalo do Amarante","BR-101 e Rota do Sol","Capital do Estado do RN","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-natal","2026-08-12T21:43:00.827Z"
"João Pessoa","PB","joao-pessoa","83","Aeroporto Internacional Presidente Castro Pinto (JPA)","BR-101 e BR-230","Capital do Estado da PB","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-joao-pessoa","2026-08-12T21:43:00.827Z"
"Campina Grande","PB","campina-grande","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-campina-grande","2026-08-12T21:43:00.827Z"
"Maceió","AL","maceio","82","Aeroporto Internacional Zumbi dos Palmares (MCZ)","BR-101 e AL-101 (Litoral Norte e Sul)","Capital do Estado de AL","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-maceio","2026-08-12T21:43:00.827Z"
"Aracaju","SE","aracaju","79","Aeroporto Internacional Santa Maria (AJU)","BR-101 e BR-235","Capital do Estado de SE","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-aracaju","2026-08-12T21:43:00.827Z"
"Brasília","DF","brasilia","61","Aeroporto Internacional Presidente Juscelino Kubitschek (BSB)","BR-040, BR-060 e BR-020","Distrito Federal (Capital do País)","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-brasilia","2026-08-12T21:43:00.827Z"
"Goiânia","GO","goiania","62","Aeroporto Internacional Santa Genoveva (GYN)","BR-153 e BR-060","Capital do Estado de GO","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-goiania","2026-08-12T21:43:00.827Z"
"Anápolis","GO","anapolis","62","Base Aérea / Conexão via Santa Genoveva GYN (40 min)","BR-153 e BR-060 (Eixo Goiânia-Brasília)","55 km de Goiânia","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-anapolis","2026-08-12T21:43:00.827Z"
"Rio Verde","GO","rio-verde","64","Aeroporto General Leite de Castro (RVD)","BR-060 e BR-452","230 km de Goiânia","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-rio-verde","2026-08-12T21:43:00.827Z"
"Caldas Novas","GO","caldasnovas","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-caldasnovas","2026-08-12T21:43:00.827Z"
"Pirenópolis","GO","pirenopolis","62","Acesso via Brasília BSB (2h) ou Goiânia GYN (1h40)","GO-431 e GO-338","120 km de Goiânia","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-pirenopolis","2026-08-12T21:43:00.827Z"
"Cuiabá","MT","cuiaba","65","Aeroporto Internacional Marechal Rondon (CGB) em Várzea Grande","BR-163 e BR-364","Capital do Estado de MT","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-cuiaba","2026-08-12T21:43:00.827Z"
"Chapada dos Guimarães","MT","chapada-guimaraes","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-chapada-guimaraes","2026-08-12T21:43:00.827Z"
"Campo Grande","MS","campo-grande","67","Aeroporto Internacional de Campo Grande (CGR)","BR-163 e BR-262","Capital do Estado de MS","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-campo-grande","2026-08-12T21:43:00.827Z"
"Bonito","MS","bonito","67","Aeroporto Regional de Bonito (BYO)","MS-178 e MS-382","290 km de Campo Grande","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-bonito","2026-08-12T21:43:00.827Z"
"Manaus","AM","manaus","92","Aeroporto Internacional Eduardo Gomes (MAO)","BR-174 (Acesso a Roraima) e transporte hidroviário","Capital do Estado do AM","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-manaus","2026-08-12T21:43:00.827Z"
"Belém","PA","belem","91","Aeroporto Internacional Val-de-Cans / Júlio Cezar Ribeiro (BEL)","BR-316 e Rodovia Augusto Montenegro","Capital do Estado do PA","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-belem","2026-08-12T21:43:00.827Z"
"Alter do Chão","PA","alter-do-chao","93","Aeroporto Internacional Maestro Wilson Fonseca em Santarém (STM - 35 km)","PA-457 (Rodovia Everaldo Martins)","35 km de Santarém e 1.300 km de Belém","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-alter-do-chao","2026-08-12T21:43:00.827Z"
"São Luís","MA","sao-luis","98","Aeroporto Internacional Marechal Cunha Machado (SLZ)","BR-135 (Único acesso rodoviário à ilha)","Capital do Estado do MA","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-sao-luis","2026-08-12T21:43:00.827Z"
"Teresina","PI","teresina","86","Aeroporto Senador Petrônio Portella (THE)","BR-343 e BR-316","Capital do Estado do PI","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-teresina","2026-08-12T21:43:00.827Z"
"Vitória","ES","vitoria","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-vitoria","2026-08-12T21:43:00.827Z"
"Feira de Santana","BA","feira-de-santana","75","Aeroporto Gov. João Durval Carneiro (FEC)","BR-324, BR-101 e BR-116 (Maior entroncamento rodoviário do Nordeste)","108 km de Salvador","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-feira-de-santana","2026-08-12T21:43:00.827Z"
"Lençóis","BA","lencois","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-lencois","2026-08-12T21:43:00.827Z"
"Jalapão / Ponte Alta","TO","jalapao","63","Aeroporto Brigadeiro Lysias Rodrigues em Palmas (PMW) + transfer 4x4","TO-030 e TO-255 (Ponte Alta do Tocantins e Mateiros)","300 km de Palmas","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-jalapao","2026-08-12T21:43:00.827Z"
